qID,questions,op1,op2,op3,op4,Correct Answer,option_number,difficulty,domain,subdomain
1,What is the time complexity of binary search algorithm?,O(n),O(log n),O(n^2),O(n log n),O(log n),2,Easy,DSA,Searching
2,Which data structure is used for implementing LIFO order?,Queue,Stack,Array,LinkedList,Stack,2,Easy,DSA,Stack
3,Which of the following is not a stable sorting algorithm?,Merge Sort,Quick Sort,Bubble Sort,Insertion Sort,Quick Sort,2,Medium,DSA,Sorting
4,What is the worst-case time complexity of bubble sort?,O(n),O(n log n),O(n^2),O(n^3),O(n^2),3,Easy,DSA,Sorting
5,Which data structure is used for implementing FIFO order?,Stack,Queue,Tree,Graph,Queue,2,Easy,DSA,Queue
6,What is the space complexity of a breadth-first search (BFS) algorithm?,O(1),O(n),O(n^2),O(V + E),O(V + E),4,Medium,DSA,Graph
7,"In a max-heap, the parent node is always ______ than the child nodes.",Smaller,Equal,Greater,Unrelated,Greater,3,Easy,DSA,Heap
8,Which traversal algorithm is used in Depth-First Search (DFS)?,In-order,Pre-order,Post-order,Breadth-first,Pre-order,2,Medium,DSA,Tree
9,What is the height of a balanced binary search tree (BST) with n nodes?,O(n),O(log n),O(n^2),O(n log n),O(log n),2,Medium,DSA,Tree
10,What does the term 'backtracking' refer to in algorithms?,Going forward to the next step,Revisiting previous steps and decisions,Skipping intermediate steps,Terminating early,Revisiting previous steps and decisions,2,Hard,DSA,Algorithms
11,What is the best-case time complexity of quick sort?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
12,Which of the following is a self-balancing binary search tree?,Binary Search Tree (BST),Binary Tree,B-Tree,AVL Tree,AVL Tree,4,Medium,DSA,Tree
13,What data structure is used in implementing priority queues?,Array,Stack,Heap,LinkedList,Heap,3,Medium,DSA,Heap
14,What is the time complexity of searching an element in a hash table?,O(1),O(log n),O(n),O(n log n),O(1),1,Medium,DSA,Hashing
15,Which of the following is a non-linear data structure?,Array,Linked List,Stack,Graph,Graph,4,Easy,DSA,Graph
16,What is the time complexity for inserting an element in a stack?,O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Stack
17,Which algorithm is used to find the shortest path in a graph?,Merge Sort,Quick Sort,Dijkstra's Algorithm,Bubble Sort,Dijkstra's Algorithm,3,Medium,DSA,Graph
18,Which of the following data structures provides fast access using keys?,Array,Linked List,Hash Table,Queue,Hash Table,3,Medium,DSA,Hashing
19,"In a binary search tree (BST), the parent node is always ______ than the child nodes.",Less than the node,Greater than the node,Equal to the node,None of the above,Less than the node,1,Easy,DSA,Tree
20,Which sorting algorithm is the fastest for large data sets?,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Quick Sort,4,Hard,DSA,Sorting
21,What is the time complexity of inserting an element into an AVL tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
22,Which traversal method is used to get the nodes of a binary search tree in ascending order?,Pre-order,Post-order,In-order,Level-order,In-order,3,Medium,DSA,Tree
23,Which of the following is not a type of linked list?,Singly Linked List,Doubly Linked List,Circular Linked List,Hash Linked List,Hash Linked List,4,Easy,DSA,Linked List
24,What is the space complexity of the merge sort algorithm?,O(1),O(n),O(n log n),O(n^2),O(n),2,Medium,DSA,Sorting
25,Which data structure is used for managing function calls in recursion?,Queue,Stack,Array,LinkedList,Stack,2,Easy,DSA,Stack
26,What is the worst-case time complexity for finding an element in a binary search tree?,O(1),O(log n),O(n),O(n log n),O(n),3,Medium,DSA,Tree
27,"In a circular queue, how do you determine if the queue is full?",front == rear,front == rear + 1,front + 1 == rear,rear == size - 1,front == rear + 1,2,Medium,DSA,Queue
28,Which of the following is a greedy algorithm?,Bubble Sort,Dijkstra's Algorithm,Merge Sort,Quick Sort,Dijkstra's Algorithm,2,Medium,DSA,Algorithms
29,What is the primary use of a hash function?,Compression,Encryption,Mapping keys to values,Sorting,Mapping keys to values,3,Easy,DSA,Hashing
30,"In a red-black tree, what is the maximum number of rotations needed to balance the tree after an insertion?",1,2,3,4,2,2,Hard,DSA,Tree
31,Which data structure is used in a breadth-first search (BFS) algorithm?,Stack,Queue,Array,LinkedList,Queue,2,Medium,DSA,Graph
32,What is the time complexity of the depth-first search (DFS) algorithm in a graph with V vertices and E edges?,O(V + E),O(V^2),O(VE),O(V + E log V),O(V + E),1,Medium,DSA,Graph
33,Which of the following sorting algorithms has the best average case time complexity?,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Merge Sort,4,Medium,DSA,Sorting
34,"In a max-heap, what is the time complexity of extracting the maximum element?",O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Heap
35,What is the main advantage of a doubly linked list over a singly linked list?,Simplicity,Memory usage,Bidirectional traversal,Performance,Bidirectional traversal,3,Medium,DSA,Linked List
36,Which of the following is a divide-and-conquer algorithm?,Bubble Sort,Quick Sort,Insertion Sort,Selection Sort,Quick Sort,2,Medium,DSA,Algorithms
37,What is the time complexity of searching for an element in a balanced binary search tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
38,Which of the following data structures is used to implement the undo feature in most software?,Queue,Stack,Array,LinkedList,Stack,2,Easy,DSA,Stack
39,What is the worst-case time complexity of the quicksort algorithm?,O(n),O(n log n),O(n^2),O(log n),O(n^2),3,Hard,DSA,Sorting
40,Which of the following is an application of the stack data structure?,Depth-first search,Breadth-first search,Priority queue,Hashing,Depth-first search,1,Medium,DSA,Stack
41,"Which of the following data structures allows insertion, deletion, and traversal in O(1) time on average?",Array,Stack,Queue,Hash Table,Hash Table,4,Medium,DSA,Hashing
42,What is the primary disadvantage of a singly linked list over a doubly linked list?,Memory usage,Complexity,Unidirectional traversal,Performance,Unidirectional traversal,3,Medium,DSA,Linked List
43,What is the worst-case time complexity of merge sort?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
44,Which data structure is used for implementing a priority queue?,Stack,Queue,Heap,LinkedList,Heap,3,Medium,DSA,Heap
45,What is the time complexity of deleting a node from a binary search tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
46,Which of the following is an example of a self-adjusting data structure?,Binary Search Tree (BST),AVL Tree,Red-Black Tree,Splay Tree,Splay Tree,4,Hard,DSA,Tree
47,What is the primary purpose of a hash table?,Searching,Sorting,Storing key-value pairs,Traversal,Storing key-value pairs,3,Easy,DSA,Hashing
48,Which of the following algorithms is used to detect cycles in a graph?,Bubble Sort,Depth-first search,Merge Sort,Quick Sort,Depth-first search,2,Medium,DSA,Graph
49,"In a binary heap, the root node is the ________ element in the heap.",Smallest,Largest,Middle,Last,Largest,2,Easy,DSA,Heap
50,What is the average-case time complexity of searching in a hash table?,O(1),O(log n),O(n),O(n^2),O(1),1,Medium,DSA,Hashing
51,Which of the following is a characteristic of a red-black tree?,All nodes are black,All nodes are red,No two red nodes can be adjacent,All leaves are at the same level,No two red nodes can be adjacent,3,Hard,DSA,Tree
52,What is the worst-case time complexity of inserting an element into a binary heap?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Heap
53,Which data structure is used to perform recursion internally?,Queue,Stack,Array,LinkedList,Stack,2,Easy,DSA,Stack
54,What is the primary advantage of using a linked list over an array?,Speed,Memory usage,Dynamic size,Indexing,Dynamic size,3,Easy,DSA,Linked List
55,Which of the following algorithms is used for finding the shortest path in a weighted graph?,Bubble Sort,Depth-first search,Floyd-Warshall Algorithm,Quick Sort,Floyd-Warshall Algorithm,3,Hard,DSA,Graph
56,What is the time complexity of inserting an element at the end of a singly linked list?,O(1),O(log n),O(n),O(n^2),O(n),3,Medium,DSA,Linked List
57,Which of the following is not a characteristic of a binary search tree?,The left subtree contains only nodes with keys less than the parent node,The right subtree contains only nodes with keys greater than the parent node,Each node has at most two children,All nodes are at the same level,All nodes are at the same level,4,Easy,DSA,Tree
58,What is the average-case time complexity of the quicksort algorithm?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
59,"In a binary tree, which traversal method visits the root node first?",In-order,Pre-order,Post-order,Level-order,Pre-order,2,Easy,DSA,Tree
60,What is the main advantage of a circular linked list over a singly linked list?,Simplicity,Memory usage,Efficient traversal,Bidirectional traversal,Efficient traversal,3,Medium,DSA,Linked List
61,Which of the following sorting algorithms is not comparison-based?,Bubble Sort,Merge Sort,Radix Sort,Quick Sort,Radix Sort,3,Hard,DSA,Sorting
62,What is the time complexity of accessing an element in an array by index?,O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Array
63,Which data structure is used for evaluating arithmetic expressions written in postfix notation?,Queue,Stack,Array,LinkedList,Stack,2,Medium,DSA,Stack
64,What is the primary disadvantage of using a linked list over an array?,Speed,Memory usage,Dynamic size,Indexing,Indexing,4,Medium,DSA,Linked List
65,Which of the following algorithms is used to sort a linked list in O(n log n) time?,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Merge Sort,4,Hard,DSA,Sorting
66,What is the space complexity of the quicksort algorithm?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Sorting
67,Which of the following data structures is used for implementing a depth-first search (DFS) algorithm?,Queue,Stack,Array,LinkedList,Stack,2,Medium,DSA,Graph
68,"In a binary search tree, what is the time complexity of finding the minimum element?",O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
69,Which of the following is an application of a priority queue?,Implementing stacks,Implementing queues,Task scheduling,Data encryption,Task scheduling,3,Medium,DSA,Queue
70,What is the primary purpose of a hash function in a hash table?,Compression,Encryption,Mapping keys to values,Sorting,Mapping keys to values,3,Easy,DSA,Hashing
71,What is the time complexity of deleting an element from a singly linked list if the pointer to the node is given?,O(1),O(log n),O(n),O(n^2),O(1),1,Medium,DSA,Linked List
72,Which of the following algorithms is used to find the minimum spanning tree in a graph?,Bubble Sort,Depth-first search,Kruskal's Algorithm,Quick Sort,Kruskal's Algorithm,3,Hard,DSA,Graph
73,What is the worst-case time complexity of searching for an element in a hash table with separate chaining?,O(1),O(log n),O(n),O(n log n),O(n),3,Hard,DSA,Hashing
74,"In a binary heap, what is the time complexity of inserting a new element?",O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Heap
75,Which of the following is a characteristic of a B-tree?,All nodes are black,All nodes are red,All leaves are at the same level,No two red nodes can be adjacent,All leaves are at the same level,3,Hard,DSA,Tree
76,What is the time complexity of accessing an element in a hash table by key?,O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Hashing
77,Which of the following is an application of the breadth-first search (BFS) algorithm?,Finding the shortest path in an unweighted graph,Finding the longest path in a weighted graph,Sorting elements,Data encryption,Finding the shortest path in an unweighted graph,1,Medium,DSA,Graph
78,"In a linked list, what is the time complexity of inserting a new element at the beginning?",O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Linked List
79,Which of the following is not a type of binary tree traversal?,In-order,Pre-order,Post-order,Reverse-order,Reverse-order,4,Easy,DSA,Tree
80,What is the primary advantage of a binary search tree over a hash table?,Speed,Memory usage,Ordered data,Dynamic size,Ordered data,3,Medium,DSA,Tree
81,What is the worst-case time complexity of the merge sort algorithm?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
82,Which data structure is used to store the directory structure of a file system?,Queue,Stack,Tree,LinkedList,Tree,3,Medium,DSA,Tree
83,What is the primary use of a priority queue?,Sorting elements,Storing elements,Retrieving the minimum or maximum element,Traversal,Retrieving the minimum or maximum element,3,Medium,DSA,Queue
84,What is the time complexity of finding the height of a binary tree?,O(1),O(log n),O(n),O(n log n),O(n),3,Medium,DSA,Tree
85,Which of the following is a self-adjusting binary search tree?,Binary Search Tree (BST),AVL Tree,Red-Black Tree,Splay Tree,Splay Tree,4,Hard,DSA,Tree
86,What is the average-case time complexity of the insertion sort algorithm?,O(1),O(log n),O(n),O(n^2),O(n^2),4,Medium,DSA,Sorting
87,Which of the following data structures is used to implement recursion?,Queue,Stack,Array,LinkedList,Stack,2,Easy,DSA,Stack
88,What is the primary disadvantage of a binary search tree?,Speed,Memory usage,Dynamic size,Imbalance,Imbalance,4,Medium,DSA,Tree
89,What is the time complexity of accessing an element in a stack?,O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Stack
90,Which of the following is an example of a self-balancing binary search tree?,Binary Search Tree (BST),Binary Tree,B-Tree,AVL Tree,AVL Tree,4,Medium,DSA,Tree
91,What is the time complexity of the bubble sort algorithm in the best case?,O(1),O(log n),O(n),O(n^2),O(n),3,Medium,DSA,Sorting
92,Which data structure is used to reverse a string efficiently?,Queue,Stack,Array,LinkedList,Stack,2,Medium,DSA,Stack
93,What is the primary advantage of a doubly linked list over a singly linked list?,Speed,Memory usage,Bidirectional traversal,Performance,Bidirectional traversal,3,Medium,DSA,Linked List
94,What is the worst-case time complexity of the insertion sort algorithm?,O(1),O(log n),O(n),O(n^2),O(n^2),4,Medium,DSA,Sorting
95,Which of the following data structures is used to implement a queue?,Stack,Queue,Array,LinkedList,Array,3,Medium,DSA,Queue
96,What is the time complexity of deleting an element from a binary search tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
97,Which of the following is a stable sorting algorithm?,Quick Sort,Merge Sort,Heap Sort,Selection Sort,Merge Sort,2,Medium,DSA,Sorting
98,Which of the following data structures does not allow random access?,Array,Linked List,Hash Table,Stack,Linked List,2,Easy,DSA,Linked List
99,What is the worst-case time complexity of the heap sort algorithm?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
100,Which traversal technique is used in depth-first search (DFS) of a graph?,Level-order,Pre-order,In-order,Post-order,Pre-order,2,Medium,DSA,Graph
101,What is the primary advantage of using a hash table?,Speed,Memory usage,Ordered data,Dynamic size,Speed,1,Easy,DSA,Hashing
102,Which of the following is not a characteristic of an AVL tree?,Balanced height,Each node has at most two children,Height difference between left and right subtrees is at most 1,All nodes are red,All nodes are red,4,Hard,DSA,Tree
103,What is the time complexity of finding the maximum element in a max-heap?,O(1),O(log n),O(n),O(n log n),O(1),1,Medium,DSA,Heap
104,Which data structure is best suited for implementing an undo mechanism in a text editor?,Queue,Stack,Array,Linked List,Stack,2,Medium,DSA,Stack
105,What is the primary use of a circular buffer?,Sorting elements,Storing elements,Fixed-size queue,Traversal,Fixed-size queue,3,Medium,DSA,Queue
106,What is the worst-case time complexity of the binary search algorithm?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Searching
107,Which of the following sorting algorithms has the best average-case time complexity?,Bubble Sort,Quick Sort,Merge Sort,Selection Sort,Merge Sort,3,Medium,DSA,Sorting
108,What is the space complexity of a stack implemented using an array?,O(1),O(log n),O(n),O(n^2),O(n),3,Easy,DSA,Stack
109,Which of the following is a characteristic of a full binary tree?,All nodes have either 0 or 2 children,All nodes have 2 children,All nodes are leaf nodes,All nodes have at least 1 child,All nodes have either 0 or 2 children,1,Medium,DSA,Tree
110,What is the time complexity of deleting an element from a doubly linked list if the pointer to the node is given?,O(1),O(log n),O(n),O(n^2),O(1),1,Medium,DSA,Linked List
111,Which of the following algorithms is used for finding the strongly connected components of a graph?,Bubble Sort,Depth-first search,Kruskals Algorithm,Tarjan's Algorithm,Tarjan's Algorithm,4,Hard,DSA,Graph
112,What is the primary disadvantage of a hash table with open addressing?,Complexity,Memory usage,Clustering,Performance,Clustering,3,Medium,DSA,Hashing
113,"Which of the following data structures allows insertion, deletion, and retrieval in O(1) time?",Array,Stack,Queue,Hash Table,Hash Table,4,Medium,DSA,Hashing
114,What is the time complexity of finding the predecessor of a node in a binary search tree?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Tree
115,Which of the following is an application of the depth-first search (DFS) algorithm?,Finding the shortest path in an unweighted graph,Finding the longest path in a weighted graph,Topological sorting,Data encryption,Topological sorting,3,Medium,DSA,Graph
116,What is the average-case time complexity of the merge sort algorithm?,O(n),O(n log n),O(n^2),O(log n),O(n log n),2,Medium,DSA,Sorting
117,Which of the following data structures is used to implement a deque?,Stack,Queue,Array,Linked List,Linked List,4,Medium,DSA,Queue
118,What is the primary advantage of using a binary heap over an array?,Speed,Memory usage,Dynamic size,Efficient retrieval of the minimum or maximum element,Efficient retrieval of the minimum or maximum element,4,Medium,DSA,Heap
